Name;x;y;srid;layer;type;date:2005-01-01;date:2005-02-01;date:2005-03-01;date:2005-04-01;date:2005-05-01;date:2005-06-01;date:2005-07-01;date:2005-08-01;date:2005-09-01;date:2005-10-01;date:2005-11-01;date:2005-12-01;date:2006-01-01;date:2006-02-01;date:2006-03-01;date:2006-04-01;date:2006-05-01;date:2006-06-01;date:2006-07-01;date:2006-08-01;date:2006-09-01;date:2006-10-01;date:2006-11-01;date:2006-12-01;date:2007-01-01;date:2007-02-01;date:2007-03-01;date:2007-04-01;date:2007-05-01;date:2007-06-01;date:2007-07-01;date:2007-08-01;date:2007-09-01;date:2007-10-01;date:2007-11-01;date:2007-12-01
H12_2;584594.298041;2327105.004527;32648;4;puw;-3288;-3312;-3312;-3264;-3312;-3240;-3264;-3264;-3264;-3192;-3120;-2880;-2880;-2880;-2880;-2880;-2952;-2952;-2976;-3000;-3000;-3048;-3000;-3000;-3000;-2952;-2952;-2952;-2952;-2928;-2928;-2880;-2808;-2832;-2832;-2808
H12_4;588093.001530;2327365.001606;32648;4;puw;-3288;-3264;-3360;-3120;-3168;-3120;-2880;-2880;-2880;-2880;-3120;-3120;-3072;-3120;-3192;-3240;-3120;-3120;-3120;-3120;-3120;-3168;-3120;-3120;-3120;-3072;-3072;-3120;-3120;-2904;-2904;-2880;-2928;-2928;-2928;-2952
H12_5;589442.400966;2323555.996917;32648;4;puw;-6000;-5928;-6000;-6000;-6000;-6048;-6048;-6120;-6120;-5400;-6168;-6360;-6120;-5400;-6120;-6168;-6168;-6192;-6192;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-5928;-5928;-5880;-5880;-3528;-5880;-5856;-6000;-6000;-6000
H12_8;587843.102973;2318358.004954;32648;4;puw;-3600;-3576;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3552;-3600;-3672;-3600;-3528;-3720;-3600;-3504;-3600;-3600;-3600;-3552;-3552;-3528;-3528;-3552;-3552;-3552;-3552;-3552;-3600;-3600
H12_9;592471.000625;2321886.996638;32648;4;puw;-3816;-3960;-3720;-3696;-3720;-3720;-3960;-3960;-3912;-3912;-3960;-3960;-3960;-3960;-3960;-3960;-3720;-3816;-3960;-3720;-3696;-3720;-3720;-3960;-3960;-3912;-3912;-3960;-3936;-3888;-3816;-3840;-4008;-3720;-3552;-3720
H13_1;580595.896388;2327105.004527;32648;4;puw;-3120;-3072;-3000;-2880;-2832;-3120;-3120;0;-3120;-2352;0;0;0;-1920;-1920;-1920;-1920;-1920;-2112;-2112;-2112;-2112;-2112;-2088;-2112;-2112;-2112;-2352;-2352;-2112;-2352;-2352;-2112;-2352;-2112;-2112
H13_2;584094.599877;2326865.003379;32648;4;puw;-3600;-3600;-3600;-3504;-3552;-3360;-3360;-3360;-3360;-3120;-3120;-3120;-3120;-3120;-2976;-3000;-3000;-3000;-2976;-3312;-3240;-3240;-3216;-3192;-3192;-3240;-3240;-3216;-3216;-3240;-3240;-3240;-3240;-3240;-3240;-3240
H13_5;589602.403328;2323555.996917;32648;4;puw;-2400;-2400;-1992;-2016;-2016;-1872;-2160;-2160;-1680;-1728;-1848;-1680;-1680;-1680;-1440;-1584;-1584;-1584;-1584;-1584;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920
H13_9;592851.101064;2321857.002743;32648;4;puw;-3720;-3816;-3960;-3720;-3720;-3696;-3696;-3960;-3960;-3960;-3960;-3960;-3960;-3720;-3720;-3720;-3720;-3816;-3960;-3720;-3720;-3696;-3696;-3960;-3960;-3960;-3960;-3960;-3936;-3936;-3816;-3840;-3888;-3720;-3720;-3720
H14_1;580356.000040;2326865.003379;32648;4;puw;-1920;-1920;-1680;-1680;-1680;-1752;0;-1752;-1560;-2112;-1680;-1680;-1656;-1632;-1632;-1632;-1632;-1632;-1584;-1584;-1608;-1608;-1608;-1608;-1608;-1608;-1608;-1608;-1608;-1608;-1680;-1680;-1608;-1680;-1608;-1680
H14_2;584354.401693;2326865.003379;32648;4;puw;-5280;-5280;-5352;-5520;-5520;-5520;-5520;-5520;-5520;-5328;-5328;-5280;-5328;-5352;-5400;-5424;-5400;-5424;-5448;-5472;-5328;-5448;-5424;-3024;-5424;-5472;-5472;-5448;-5448;-5376;-5376;-5400;-5400;-5400;-5400;-5400
H14_3;586833.498289;2325196.003099;32648;4;puw;-2400;-2400;-2400;-2640;-2640;-2640;-2400;-2400;-2400;-2400;-2400;-2400;-2400;-2400;-2352;-2376;-2352;-2376;-2400;-2400;-2400;-2400;-2400;-2400;-2400;-2400;-2400;-2472;-2472;-2496;-2496;-2496;-2496;-2520;-2544;-2640
H14_5;589722.297904;2323526.003023;32648;4;puw;-5160;-5280;-5520;-5520;-5472;-5520;-5568;-5592;-5592;-3264;-2952;-2400;-2472;-2568;-2304;-2160;-2160;-1848;-1848;-1824;-1824;-1824;-1824;-1848;-1848;-1848;-1848;-1848;-5160;-5232;-5208;-2760;-5232;-5040;-5040;-5040
H14_6;584094.500926;2320837.000361;32648;4;puw;-2640;-2400;-2400;-2520;-2520;-2880;-2832;-2832;-2832;-2832;-2832;-2400;-2400;-2400;-2160;-2160;-2160;-2112;-2160;-2112;-2088;-2040;-1992;-1968;-2016;-2016;-2016;-2016;-2016;-2016;-1920;-1920;-2352;-2832;-3192;-2640
H14_7;588592.798644;2321117.003368;32648;4;puw;-3120;-3072;-3072;-2448;-2448;-2448;-2448;-2040;-1992;-2016;-1920;-1680;-1680;-1680;-1776;-1800;-1824;-1776;-1800;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160;-2160
H14_9;592851.101064;2321617.001594;32648;4;puw;-3720;-3792;-3960;-3720;-3720;-3720;-3720;-3960;-3960;-3960;-3960;-3960;-3720;-3720;-3720;-3720;-3720;-3792;-3960;-3720;-3720;-3720;-3720;-3960;-3960;-3960;-3960;-3960;-3936;-3960;-3792;-3840;-3960;-3720;-3720;-3720
H15_1;580595.896388;2326865.003379;32648;4;puw;-3360;-3456;-3408;-3456;-3312;-3240;-3168;-3168;-3048;-2640;-2592;-2592;-2400;-2400;-2400;-2592;-2688;-2688;-2640;-2832;-3000;-3000;-2952;-2952;0;-3288;-3240;-3240;-3240;-2640;-2592;-2520;-2520;-2520;-2952;-2952
H15_2;583854.596333;2326604.996303;32648;4;puw;-3384;-3360;-3360;-3360;-3360;-3360;-3408;-3408;-3408;-3360;-3360;-3360;-3360;-3000;-3000;-3000;-3000;-3024;-3024;-3048;-3000;-3000;-3000;-3000;-3000;-3000;-3000;-2976;-2976;-2976;-2976;-3000;-2976;-2976;-2976;-3000
H15_3;586973.397283;2325206.001064;32648;4;puw;-2880;-2760;-2640;-2592;-2520;-2520;-2520;-2520;-2520;-2520;-2400;-2472;-2400;-2400;-2328;-2160;-3072;-2880;-2928;-2880;-2808;-2832;-2784;-2712;-2640;-2640;-2640;-2640;-2640;-2640;-2592;-2592;-2640;-2520;-2592;-2808
H15_4;587853.096936;2327365.001606;32648;4;puw;-5520;-5520;-5592;-5520;-5400;-5424;-5328;-5328;-5328;-5352;-5376;-5280;-5328;-5280;-5328;-5352;-5280;-5328;-5712;-5760;-5640;-5520;-5448;-5448;-5280;-5280;-5448;-5448;-5688;-5688;-5328;-5376;-5520;-3240;-5640;-5712
H15_5;590152.203243;2323555.996917;32648;4;puw;-1920;-1920;-1680;-1800;-1728;-1800;-1824;-1800;-1800;-1920;-1968;-2016;-1992;-1920;-1920;-1800;-1824;-1824;-1872;-1848;-1824;-1800;-1800;-1800;-1800;-1728;-1728;-1680;-1680;-1680;-1728;-1728;-1728;-1680;-1728;-1800
H15_6;583914.601341;2320906.996114;32648;4;puw;-3360;-3360;-3120;-2880;-2472;-2688;-2760;-2760;-2760;-2760;-2880;-2880;-2688;-2688;-2712;-2760;-2808;-2832;-2832;-2808;-2832;-2808;-2808;-2808;-2808;-2808;-2832;-2832;-2832;-2832;-2832;-2832;-2832;-2832;-2832;-2832
H15_7;588172.903761;2320877.002219;32648;4;puw;-2112;-2160;-2304;-2160;-2040;-2040;-2040;-2040;-2688;-2880;-1968;-2880;-2688;-2832;-2784;-2640;-2640;-2640;-2400;-2520;-2568;-2448;-2448;-2400;-2400;-2400;-2448;-2520;-2400;-2448;-2472;-2496;-2400;-2376;-2400;-2400
H15_9;593090.997412;2321617.001594;32648;4;puw;-3768;-3840;-3480;-3888;-3840;-3840;-4128;-3552;-3768;-3624;-4080;-4080;-3768;-3840;-3480;-3888;-3840;-3840;-4128;-3552;-3768;-3624;-3624;-3528;-3528;-3648;-3648;-3648;-3840;-3600;-3864;-3720;-3912;-2448;-3768;-4008
H16_1;581095.701748;2326865.003379;32648;4;puw;-2520;-2592;-2400;-2400;-2400;-2400;-2400;-2400;-3192;-2280;-2352;-2328;-2472;-2520;-2544;-2400;-2160;-2208;-2160;-2160;-2208;-2208;-2208;-2256;-2256;-2232;-2232;-2256;-2160;-2160;-2328;-2304;-2640;-2592;-2208;-2592
H16_2;584094.599877;2326604.996303;32648;4;puw;-3360;-3360;-3360;-3360;-3360;-3360;-3408;-3408;-3408;-3408;-3360;-3360;-3360;-3360;-3360;-3360;-3336;-3336;-3312;-3312;-3312;-3264;-3264;-3240;-3240;-3216;-3216;-3216;-3216;-3168;-3168;-3168;-3120;-3144;-3120;-3120
H16_3;587173.301286;2325236.004957;32648;4;puw;-2568;-2808;-2760;-2784;-2640;-2640;-3240;-3240;-3240;-2640;-2520;-2472;-2496;-2400;-2520;-2472;-2640;-2640;-2568;-2592;-2568;-2400;-2544;-2520;-2520;-2520;-2520;-2496;-2496;-2592;-2592;-2592;-2640;-2688;-2640;-2640
H16_4;587593.196170;2327365.001606;32648;4;puw;-3360;-3360;-3360;-3360;-3120;-3192;-3192;-3192;-3192;-3360;-3480;-3360;-3192;-3120;-3072;-3072;-3024;-3048;-3000;-3024;-2976;-3000;-3000;-2976;-2976;-2880;-2880;-2880;-2880;-2880;-2832;-2856;-2928;-2928;-2880;-2640
H16_5;590352.099000;2323365.995592;32648;4;puw;-1776;-1776;-1776;-1800;-1800;-1800;-1896;-1920;-1872;-1872;-1848;-2400;-3120;-2832;-2880;-2640;-2400;-2400;-2328;-2280;-2160;-2160;-2160;-2160;-2160;-2040;-2040;-2064;-2040;-1992;-1992;-2016;-2040;-2064;-2112;-1920
H16_6;583684.698957;2320767.004609;32648;4;puw;-3120;-3120;-3288;-3120;-3168;-3264;-3288;-3288;-3288;-3288;-3288;-3240;-3288;-3312;-3240;-3240;-3216;-3120;-3264;-3240;-3216;-3240;-3264;-3240;-3264;-3264;-3192;-3192;-3216;-3216;-3120;-3120;-3120;-3120;-3216;-3192
H16_7;588352.902296;2320856.996291;32648;4;puw;-3360;-3288;-3120;-2712;-3240;-3240;-3240;-3240;-3240;-2880;-2880;-2880;-2808;-2880;-2880;-2880;-2880;-2928;-2880;-2832;-2448;-2400;-2400;-2640;-2640;-2640;-2664;-2640;-2592;-2568;-2520;-2544;-2520;-2592;-2520;-2520
H16_9;593590.802772;2320856.996291;32648;4;puw;-4320;-3600;-3528;-4224;-3816;-3840;-3744;-3792;-4320;-3600;-3528;-4224;-3816;-3840;-3744;-3792;-3600;-3192;-3096;-3408;-3672;-3216;-3216;-3048;-3048;-2952;-2952;-2952;-3336;-4176;-3360;-3240;-3120;-2904;-2880;-2832
H17_1;580356.000040;2326604.996303;32648;4;puw;-3264;-3264;-3240;0;-3120;-2880;-3192;-3168;-3168;-3168;-3120;-2400;-2400;-2880;-2880;-2880;-2880;-2880;-2760;-2832;-2832;-2832;-2832;-2640;-2688;-2688;-2688;-2688;-2688;-2832;-2832;-2808;-2808;-2832;-2832;-2640
H17_2;584354.401693;2326604.996303;32648;4;puw;-3600;-3600;-3600;-3504;-3456;-3240;-3264;-3264;-3264;-3216;-3120;-3120;-3120;-3168;-3216;-3264;-3360;-3384;-3456;-3312;-3312;-3336;-3240;-3240;-3240;-3240;-3240;-3216;-3216;-3192;-3192;-3240;-3312;-3288;-3288;-3288
H17_3;587173.301286;2325096.003454;32648;4;puw;-2160;-1872;-1872;-1848;-1872;-1848;-1920;-2208;-2208;-2208;-2160;-2160;-2040;-2088;-2064;-2040;-1992;-1920;-1920;-1872;-1920;-1872;-1848;0;0;0;0;0;0;-2112;-2112;-2208;-2112;-2112;-2160;-2160
H17_4;587353.299821;2327615.000719;32648;4;puw;-2760;-2784;-2592;-2520;-2448;-2448;-2400;-2400;-2400;-2256;-2160;-2160;-2160;-2112;-2400;-2400;-2472;-2400;-2520;-2400;-2400;-2400;-2376;-2376;-2352;-2352;-2352;-2352;-2304;-2304;-2328;-2400;-2400;-2280;-2400;-2352
H17_5;590092.198234;2323365.995592;32648;4;puw;-4080;-4080;-4080;-4080;-4200;-4200;-4248;-4272;-4272;-4320;-4320;-4320;-4272;-4272;-4272;-4320;-4320;-4320;-4248;-4272;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4368;-4320
H17_6;583424.798190;2320746.998681;32648;4;puw;-2400;-2400;-2352;-2352;-2400;-2400;-2400;-2400;-2400;-2400;-2232;-2208;-2232;-2208;-2160;-2208;-2160;-2160;-2160;-2232;-2304;-2280;-2280;-2256;-2256;-2256;-2256;-2256;-2256;-2256;-2400;-2400;-2448;-2448;-2472;-2496
H17_7;588622.797026;2320856.996291;32648;4;puw;-3048;-2880;-2928;-2760;-3000;-3000;-3000;-3000;-2880;-2808;-2832;-2640;-2640;-2640;-2688;-2760;-2760;-2760;-2880;-2640;-2640;-2640;-2640;-2568;-2568;-2592;-2640;-2520;-2592;-2640;-2400;-2520;-2472;-2400;-2472;-2472
H17_9;593590.802772;2320616.995143;32648;4;puw;-4320;-3792;-3936;-4224;-3816;-3840;-3840;-3840;-4320;-3792;-3936;-4224;-3816;-3840;-3840;-3840;-3840;-3864;-3912;-3552;-3552;-3600;-3600;-3576;-3576;-3648;-3648;-3648;-3912;-3600;-3600;-3840;-3792;-3600;-3432;-3096
H18_1;581095.701748;2326604.996303;32648;4;puw;-2160;-2040;-2064;-2040;-2040;-2040;-2040;-2040;-1920;-1968;-2160;-2160;-2208;-2280;-2304;-2352;-2328;-3072;-3072;-2976;-2976;-3000;-3000;-3024;-3024;-2976;-2952;-2160;-2160;-2352;-2352;-2832;-2400;-2448;-2400;-2400
H18_3;586803.499907;2325015.999738;32648;4;puw;-2112;-2040;-1944;-1920;-1920;-1968;-1968;-1968;-1920;-1680;-1680;-1680;-1680;-1752;-1728;-1752;-1920;-1968;-1992;-1968;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1920;-1968;-1920;-2208;-2160;-2160
H18_4;587593.196170;2327615.000719;32648;4;puw;-5280;-5328;-5472;-5328;-5352;-5280;-5328;-5328;-5328;-5280;-5208;-5184;-5208;-5160;-5280;-5472;-2520;-4800;-5040;-4920;-4920;-4896;-4848;-4848;-4800;-4800;-4848;-4848;-5472;-5472;-5448;-5448;-5472;-5400;-5424;-5424
H18_6;583564.796135;2320887.000184;32648;4;puw;-2880;-2640;-2472;-2472;-2400;-2640;-2640;-2640;-2640;-2640;-2520;-2472;-2472;-2448;-2880;-2880;-2880;-2640;-2640;-2688;-2640;-2688;-2640;-2640;-2592;-2592;-2592;-2592;-2640;-2640;-2640;-2640;-2640;-2448;-2400;-2448
H18_7;588733.002735;2320861.995274;32648;4;puw;-2400;-2520;-2400;-3408;-3432;-3432;-3432;-3432;-3360;-3360;-3360;-3120;-3360;-3360;-2736;-3456;-3432;-3408;-3288;-3360;-3360;-3360;-3360;-3360;-3360;-3312;-3264;-3264;-3264;-3312;-3240;-3264;-3576;-3552;-3504;-3504
H18_9;593850.703539;2320616.995143;32648;4;puw;-3864;-3840;-3840;-3864;-3840;-3792;-3552;-3384;-3816;-3600;-3936;-3936;-3864;-3840;-3840;-3864;-3840;-3792;-3552;-3384;-3816;-3120;-3120;-2976;-2976;-2976;-2976;-2976;-2976;-3288;-3072;-3552;-2952;-2712;-2736;-2640
H19_4;587853.096936;2327615.000719;32648;4;puw;-1920;-1968;-2016;-1920;-1896;-1920;-2040;-2040;-2040;-2016;-2040;-2064;-2112;-1920;-1752;-1920;-1968;-1992;-2040;-1920;-1920;-1872;-1920;-1920;-1920;-1920;-1920;-1872;-1872;-1872;-1872;-1920;-1872;-2808;-2832;-2832
H19_6;583404.802018;2321006.995759;32648;4;puw;-3552;-3648;-3720;-3720;-3720;-3720;-3720;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3600;-3552;-3600;-3672;-3600;-3600;-3480;-3480;-3480;-3480;-3480;-3480;-3480;-3504;-3504;-3480;-3528;-3552;-3600;-3552;-3528;-3480
H19_7;588852.699411;2320856.996291;32648;4;puw;-1440;-1680;-2400;-2232;-2256;-2256;-2256;-2256;-1680;-1680;-1680;-1680;-1680;-1680;-1680;-1728;-1680;-1680;-1728;-1752;-1680;-1680;-1680;-1656;-1656;-1608;-1680;-1776;-1848;-1872;-1872;-1848;-1872;-1800;-1824;-1824
H19_9;593590.802772;2320117.996712;32648;4;puw;-3840;-3840;-3792;-3840;-3864;-4008;-3528;-4104;-3903;-3696;-3984;-3984;-3840;-3840;-3840;-3792;-3840;-3864;-4008;-3528;-4104;-3504;-3504;-3552;-3552;-3600;-3600;-3600;-4248;-4224;-3912;-3984;-3912;-3600;-3600;-3384
H1VC_1;580855.797154;2326364.995154;32648;4;puw;-2400;-2400;-2400;-2400;-2448;-2448;-2688;-2688;-2640;-1920;-1920;-1920;-1896;-1920;-1800;-1776;-1848;-1848;-1848;-1872;-1872;-1872;-1872;-1656;-1656;-1656;-1656;-2400;-3000;-3000;0;0;0;0;0;0
H2_1;581355.602514;2326364.995154;32648;4;puw;-3552;-3600;-3456;-3360;0;-4080;-3648;-3648;-3648;-3600;-3552;-3552;-3504;-3360;-3408;-3408;-2256;-2256;-2136;-2136;-1632;-1680;-1680;-1680;-1680;-1680;-1680;-1728;-1728;-2136;-2136;-2136;-2136;-2136;-1728;-1728
H2_8;587922.996958;2318278.001238;32648;4;puw;-2112;-2112;-2160;-2160;-2112;-2520;-2520;-2520;-2112;-2064;-1968;-1920;-1920;-1920;-1872;-1872;-1728;-1728;-1728;-1680;-1776;-1776;-2112;-2112;-2136;-2136;-2112;-2112;-2136;-2136;-2088;-2088;-2112;-2160;-2208;-2208
H2_9;593590.802772;2319857.999634;32648;4;puw;-4344;-4416;-4488;-4200;-4296;-4320;-4200;-4176;-4152;-3960;-4056;-3840;-3840;-4296;-3840;-3936;-3888;-4008;-3792;-3768;-3744;-3672;-3648;-3696;-3648;-3648;-3504;-3504;-4056;-4056;-3960;-3840;-4056;-3648;-3840;-3936
H20_4;588093.001530;2327615.000719;32648;4;puw;-3360;-3360;-3312;-3312;-3312;-3360;-3360;-3360;-3360;-3312;-3264;-3240;-3288;-3312;-3336;-3840;-3840;-3840;-3720;-3720;-3720;-3816;-3840;-3840;-3840;-3840;-3840;-3840;-3840;-3888;-3888;-3840;-3888;-3888;-3840;-3840
H20_7;588312.901706;2320717.004786;32648;4;puw;-2880;-3288;-3360;-3312;-3288;-3288;-3288;-3288;-2880;-2808;-2880;-2880;-2880;-2832;-2784;-2640;-2640;-2640;-2592;-2592;-2808;-2856;-2856;-2832;-2832;-2808;-2808;-2928;-2928;-2880;-2880;-2832;-2808;-2832;-2640;-2640
H21_3;587103.401264;2324946.003986;32648;4;puw;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4128;-4152;-4176;-4080;-4200;-4176;-4200;-4224;-4248;-4248;-4248;-4248;-4248;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320;-4320
H21_7;588444.433925;2320719.128580;32648;4;puw;-3720;-3552;-3360;-3360;-3360;-3360;-3552;-3480;-3504;-3360;-2832;-2880;-2880;-2880;-2688;-2688;-3360;-3480;-3360;-3360;-3360;-3384;-3384;-3360;-3312;-3336;-3336;-3072;-3048;-2880;-2952;-2880;-2880;-2880;-2880;-2880
H22_3;586803.499907;2324816.000447;32648;4;puw;-7200;-7200;-6960;-6960;-6960;-7080;-7080;-6240;-6240;-6240;-6240;-6240;-6000;-4608;-4440;-6312;-6288;-6120;-6192;-6168;-6240;-6192;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-6240;-6240
